Timestamp,Temperature,Vibration,Motor_Current,Pressure,Noise,Machine_Health,Machine_Status,Remaining_Useful_Life_Days
2026-08-31 10:26:12,61.76,0.22,7.9,5.08,42.54,99.8,Healthy,374
2026-09-01 10:26:12,61.71,0.18,7.87,5.04,41.05,99.7,Healthy,373
2026-09-02 10:26:12,62.02,0.17,7.91,5.07,41.72,99.7,Healthy,372
2026-09-03 10:26:12,61.59,0.21,7.77,5.01,42.21,99.6,Healthy,371
2026-09-04 10:26:12,61.75,0.19,7.9,5.08,40.83,99.6,Healthy,370
2026-09-05 10:26:12,62.2,0.18,7.9,5.12,42.62,99.3,Healthy,369
2026-09-06 10:26:12,62.22,0.18,7.95,5.12,41.71,99.3,Healthy,368
2026-09-07 10:26:12,61.98,0.18,7.87,5.1,40.65,99.2,Healthy,367
2026-09-08 10:26:12,61.47,0.2,7.86,5.05,42.19,99.2,Healthy,366
2026-09-09 10:26:12,61.09,0.18,7.85,5.07,41.7,99.2,Healthy,365
2026-09-10 10:26:12,61.51,0.21,7.84,5.07,41.94,99.1,Healthy,364
2026-09-11 10:26:12,61.35,0.18,7.79,5.12,42.36,99.1,Healthy,363
2026-09-12 10:26:12,61.96,0.16,7.87,5.1,41.68,99.1,Healthy,362
2026-09-13 10:26:12,61.72,0.18,7.84,5.11,41.17,99.1,Healthy,361
2026-09-14 10:26:12,61.56,0.18,7.78,5.09,42.16,99.0,Healthy,360
2026-09-15 10:26:12,61.2,0.24,7.84,5.03,42.63,99.0,Healthy,359
2026-09-16 10:26:12,61.57,0.22,7.91,5.06,41.8,99.0,Healthy,358
2026-09-17 10:26:12,61.74,0.2,7.91,5.07,43.86,98.9,Healthy,357
2026-09-18 10:26:12,61.8,0.2,7.85,5.06,41.24,98.9,Healthy,356
2026-09-19 10:26:12,61.73,0.17,7.86,5.08,41.42,98.9,Healthy,355
2026-09-20 10:26:12,61.36,0.19,7.86,5.09,44.38,98.8,Healthy,354
2026-09-21 10:26:12,61.88,0.17,7.87,5.08,42.03,98.8,Healthy,353
2026-09-22 10:26:12,62.03,0.17,7.86,5.08,42.38,98.8,Healthy,352
2026-09-23 10:26:12,61.77,0.13,7.88,5.05,42.7,98.7,Healthy,351
2026-09-24 10:26:12,61.35,0.17,7.83,5.14,42.3,98.7,Healthy,350
2026-09-25 10:26:12,61.17,0.21,7.84,5.09,42.48,98.7,Healthy,349
2026-09-26 10:26:12,60.84,0.22,7.78,5.05,42.15,98.6,Healthy,348
2026-09-27 10:26:12,61.39,0.2,7.82,5.07,41.67,98.6,Healthy,347
2026-09-28 10:26:12,60.66,0.19,7.88,5.07,41.76,98.6,Healthy,346
2026-09-29 10:26:12,61.05,0.22,7.86,5.1,42.63,98.5,Healthy,345
2026-09-30 10:26:12,61.31,0.22,7.83,5.09,42.13,98.5,Healthy,344
2026-10-01 10:26:12,61.36,0.21,7.85,5.09,42.24,98.5,Healthy,343
2026-10-02 10:26:12,61.09,0.21,7.88,5.11,42.61,98.4,Healthy,342
2026-10-03 10:26:12,61.51,0.16,7.84,5.1,41.86,98.4,Healthy,341
2026-10-04 10:26:12,61.69,0.15,7.8,5.06,42.01,98.4,Healthy,340
2026-10-05 10:26:12,61.42,0.18,7.84,5.09,41.62,98.3,Healthy,339
2026-10-06 10:26:12,61.67,0.18,7.86,5.09,41.71,98.3,Healthy,338
2026-10-07 10:26:12,61.58,0.2,7.87,5.16,41.92,98.3,Healthy,337
2026-10-08 10:26:12,61.81,0.19,7.94,5.13,41.91,98.3,Healthy,336
2026-10-09 10:26:12,61.55,0.16,7.88,5.08,43.08,98.2,Healthy,335
2026-10-10 10:26:12,61.76,0.17,7.85,5.1,42.55,98.2,Healthy,334
2026-10-11 10:26:12,61.34,0.23,7.83,5.13,42.44,98.2,Healthy,333
2026-10-12 10:26:12,62.01,0.18,7.9,5.17,41.2,98.1,Healthy,332
2026-10-13 10:26:12,61.52,0.23,7.77,5.03,42.5,98.1,Healthy,331
2026-10-14 10:26:12,61.69,0.2,7.79,5.08,41.62,98.1,Healthy,330
2026-10-15 10:26:12,61.25,0.19,7.77,5.07,41.42,98.0,Healthy,329
2026-10-16 10:26:12,61.54,0.2,7.84,5.07,41.81,98.0,Healthy,328
2026-10-17 10:26:12,61.56,0.18,7.82,5.21,42.95,98.0,Healthy,327
2026-10-18 10:26:12,61.26,0.15,7.76,5.15,42.7,97.9,Healthy,326
2026-10-19 10:26:12,61.92,0.15,7.84,5.08,41.44,97.9,Healthy,325
2026-10-20 10:26:12,61.73,0.17,7.79,5.1,41.69,97.9,Healthy,324
2026-10-21 10:26:12,62.17,0.19,7.84,5.13,42.6,97.8,Healthy,323
